,,Ciclo Respiratorio,Crepitancia,Sibilancia,Varianza,Rango,Suma de Promedios,Promedio de Espectros
101_1b1_Al_sc_Meditron.wav,0,1.0,0.0,0.0,0.0001160655893451607,0.15026959898142064,1.3709703021284988e-05,0.00023209241262841582
101_1b1_Al_sc_Meditron.wav,1,2.0,0.0,0.0,0.00012394349339324505,0.17243344443256772,1.3709703021285054e-05,0.00024788097857022205
101_1b1_Al_sc_Meditron.wav,2,3.0,0.0,0.0,0.00011930203989721717,0.17862443567726216,1.5189181520856893e-05,0.0002385965812375583
101_1b1_Al_sc_Meditron.wav,3,4.0,0.0,0.0,0.00014506111622557516,0.21629317906252704,-4.897463047297702e-06,0.0002901083834735163
101_1b1_Al_sc_Meditron.wav,4,5.0,0.0,0.0,9.432510970591677e-05,0.16943998623395073,-6.6625537702787714e-06,0.00018864031807244274
101_1b1_Al_sc_Meditron.wav,5,6.0,0.0,0.0,0.00010078466934417471,0.1748204536189789,-6.013248479846877e-07,0.0002015589394034766
101_1b1_Al_sc_Meditron.wav,6,7.0,0.0,0.0,0.0001116491553302188,0.18060141185690518,-7.497219709041063e-06,0.00022329289841770502
101_1b1_Al_sc_Meditron.wav,7,8.0,0.0,0.0,0.00010412150709918555,0.17593544081859708,-1.2529939780550385e-07,0.00020823800691227416
101_1b1_Al_sc_Meditron.wav,8,9.0,0.0,0.0,9.970018578616081e-05,0.22682306421683254,2.0436947448740104e-07,0.00019938963900482216
101_1b1_Al_sc_Meditron.wav,9,10.0,0.0,0.0,0.00010319686458197293,0.16400514616517753,-3.021809605729405e-06,0.0002063843035015645
101_1b1_Al_sc_Meditron.wav,10,11.0,0.0,0.0,0.00011233407192349565,0.16949250521610915,-3.894686965674385e-07,0.00022466248355917893
101_1b1_Al_sc_Meditron.wav,11,12.0,0.0,0.0,0.00010249483772968312,0.1745977439551547,9.320702469614748e-06,0.00020497691544221967
101_1b1_Pr_sc_Meditron.wav,0,1.0,0.0,0.0,1.6067029067372695e-07,0.010978392392548515,1.4584684656654377e-06,3.213287150039774e-07
101_1b1_Pr_sc_Meditron.wav,1,2.0,0.0,0.0,5.706457107802189e-07,0.020228462177665843,-1.888278842026707e-06,1.1412674377958526e-06
101_1b1_Pr_sc_Meditron.wav,2,3.0,0.0,0.0,1.3147805659993568e-06,0.03842841066514646,-1.3254742477129473e-06,2.629505093273712e-06
101_1b1_Pr_sc_Meditron.wav,3,4.0,0.0,0.0,1.3805961713847837e-06,0.05158271618488684,-3.934930889086427e-07,2.7611259488015276e-06
101_1b1_Pr_sc_Meditron.wav,4,5.0,0.0,0.0,8.349882688626431e-07,0.034319644879529196,-1.590424044814885e-08,1.669934111615389e-06
101_1b1_Pr_sc_Meditron.wav,5,6.0,0.0,0.0,4.8908947860373275e-06,0.08994655723151285,4.3847341653558156e-07,9.781572440230661e-06
101_1b1_Pr_sc_Meditron.wav,6,7.0,0.0,0.0,3.234159680145251e-06,0.053441846019952305,-9.992727799799906e-08,6.468172693033678e-06
101_1b1_Pr_sc_Meditron.wav,7,8.0,0.0,0.0,2.7417373067093845e-06,0.061704039400343164,7.52885513712645e-08,5.483214905423441e-06
101_1b1_Pr_sc_Meditron.wav,8,9.0,0.0,0.0,2.467285825743824e-06,0.06187116374399643,2.2239056973982573e-06,4.9344613077566235e-06
101_1b1_Pr_sc_Meditron.wav,9,10.0,0.0,0.0,4.8411279987435935e-06,0.07354130457703956,-2.0564461211526356e-06,9.682033334990694e-06
101_1b1_Pr_sc_Meditron.wav,10,11.0,0.0,0.0,4.8217715393074665e-06,0.04020291879639795,-1.0795054495573118e-05,9.642965413401167e-06
102_1b1_Ar_sc_Meditron.wav,0,1.0,0.0,0.0,1.9191586806560937e-06,0.028013051688228707,-4.325432541661543e-07,3.83808086609584e-06
102_1b1_Ar_sc_Meditron.wav,1,2.0,0.0,0.0,2.735865275593002e-06,0.02865876568582687,8.292246081841372e-07,5.4715711834877695e-06
102_1b1_Ar_sc_Meditron.wav,2,3.0,0.0,0.0,1.173433109656273e-06,0.026189120628124955,-1.0360701968428651e-06,2.346760533181801e-06
102_1b1_Ar_sc_Meditron.wav,3,4.0,0.0,0.0,8.063667664405678e-06,0.07555414419643577,1.1432194314581733e-07,1.6126785020501496e-05
102_1b1_Ar_sc_Meditron.wav,4,5.0,0.0,0.0,3.915650800046484e-06,0.030921516359275127,1.5126343139125103e-06,7.83104793004891e-06
102_1b1_Ar_sc_Meditron.wav,5,6.0,0.0,0.0,7.18021958684216e-06,0.03510182312608965,1.1989958816050018e-06,1.435961014475153e-05
102_1b1_Ar_sc_Meditron.wav,6,7.0,0.0,0.0,2.578344031504911e-06,0.024571228303900884,-1.6657531072061158e-06,5.156360778923569e-06
102_1b1_Ar_sc_Meditron.wav,7,8.0,0.0,0.0,5.518216921917016e-06,0.03233188664009958,3.5945045918727335e-06,1.10361835959123e-05
102_1b1_Ar_sc_Meditron.wav,8,9.0,0.0,0.0,3.352647191782507e-06,0.025433878477296307,2.823780200743724e-06,6.705107606562681e-06
102_1b1_Ar_sc_Meditron.wav,9,10.0,0.0,0.0,3.421852132077132e-06,0.02720491572257267,-2.22733591377402e-06,6.843524761865425e-06
102_1b1_Ar_sc_Meditron.wav,10,11.0,0.0,0.0,3.893267216131331e-06,0.028266519838833555,-2.489701005800327e-06,7.786063633881123e-06
102_1b1_Ar_sc_Meditron.wav,11,12.0,0.0,0.0,4.620282270455282e-06,0.03431856927952408,5.795287964766958e-06,9.2400715530456e-06
102_1b1_Ar_sc_Meditron.wav,12,13.0,0.0,0.0,2.6055644949093592e-05,0.03712644041393242,-2.5258561726859307e-05,5.2098554978857244e-05
103_2b2_Ar_mc_LittC2SE.wav,0,1.0,0.0,1.0,1.5803718595154505e-05,0.06605367272109681,-1.8462109813825214e-07,3.160694051478195e-05
103_2b2_Ar_mc_LittC2SE.wav,1,2.0,0.0,0.0,5.1315156721545615e-06,0.054913703037689165,-1.2796862303760913e-06,1.0262756431865527e-05
